Date,Open,High,Low,Close,Adj Close,Volume
11/1/12,13099.19043,13290.75,12471.49023,13025.58008,13025.58008,2683930000
12/1/12,13027.73047,13365.86035,12883.88965,13104.13965,13104.13965,2666750000
1/1/13,13104.29981,13969.99023,13104.29981,13860.58008,13860.58008,2786680000
2/1/13,13860.58008,14149.15039,13784.00977,14054.49023,14054.49023,2487580000
3/1/13,14054.49023,14585.09961,13937.59961,14578.54004,14578.54004,2546320000
4/1/13,14578.54004,14887.50977,14434.42969,14839.79981,14839.79981,2920230000
5/1/13,14839.79981,15542.40039,14687.04981,15115.57031,15115.57031,2771510000
6/1/13,15123.54981,15340.08984,14551.26953,14909.59961,14909.59961,2929040000
7/1/13,14911.59961,15634.32031,14858.92969,15499.54004,15499.54004,2623130000
8/1/13,15503.84961,15658.42969,14760.41016,14810.30957,14810.30957,2327660000
9/1/13,14801.54981,15709.58008,14777.48047,15129.66992,15129.66992,2371540000
10/1/13,15132.49023,15721,14719.42969,15545.75,15545.75,2206620000
11/1/13,15558.00977,16174.50977,15522.17969,16086.41016,16086.41016,1820260000
12/1/13,16087.12012,16588.25,15703.79004,16576.66016,16576.66016,2057160000
1/1/14,16572.16992,16573.07031,15617.54981,15698.84961,15698.84961,2177040000
2/1/14,15697.69043,16398.94922,15340.69043,16321.70996,16321.70996,2067820000
3/1/14,16321.70996,16505.69922,16046.99023,16457.66016,16457.66016,2095940000
4/1/14,16458.05078,16631.63086,16015.32031,16580.83984,16580.83984,1986960000
5/1/14,16580.25977,16735.50977,16341.29981,16717.16992,16717.16992,1643160000
6/1/14,16716.84961,16978.01953,16673.65039,16826.59961,16826.59961,1755480000
7/1/14,16828.5293,17151.56055,16563.30078,16563.30078,16563.30078,1690880000
8/1/14,16561.69922,17153.80078,16333.78027,17098.44922,17098.44922,1482600000
9/1/14,17097.41992,17350.64063,16934.42969,17042.90039,17042.90039,1870550000
10/1/14,17040.46094,17395.53906,15855.12012,17390.51953,17390.51953,2903240000
11/1/14,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,1516490000
12/1/14,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,2216900000
1/1/15,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,2173260000
2/1/15,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000
3/1/15,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000
4/1/15,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000
5/1/15,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000
6/1/15,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000
7/1/15,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000
8/1/15,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000
9/1/15,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000
10/1/15,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000
11/1/15,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000
12/1/15,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000
1/1/16,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000
2/1/16,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000
3/1/16,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000
4/1/16,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000
5/1/16,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000
6/1/16,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000
7/1/16,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000
8/1/16,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000
9/1/16,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000
10/1/16,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000
11/1/16,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000
12/1/16,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000
1/1/17,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482450000
2/1/17,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000
3/1/17,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000
4/1/17,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000
5/1/17,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000
6/1/17,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000
7/1/17,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000
8/1/17,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000
9/1/17,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000
10/1/17,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000
11/1/17,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000
12/1/17,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000
1/1/18,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000
2/1/18,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000
3/1/18,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000
4/1/18,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000
5/1/18,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000
6/1/18,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000
7/1/18,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,5408500000
8/1/18,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,5635410000
9/1/18,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,5262500000
10/1/18,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,8373350000
11/1/18,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,7226940000
12/1/18,25779.57031,25980.21094,23881.36914,24423.25977,24423.25977,2066990000
